split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,dengeli,threshold,critical,1.33,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,critical,0.67,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,external_position_anomaly,50,2,0.04,5,0.7340355269444444,6.811659404025584,20.524343499999993,27.02733099999999
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,normal,0,0,,3,6.7653268580555554,0.44343755489475933,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,external_position_anomaly,50,13,0.26,10,0.7340355269444444,13.623318808051168,28.342820846153852,51.084812
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,global_position_anomaly,51,14,0.27450980392156865,32,0.6878973927777778,46.5185656116267,20.643151642857138,44.960684999999984
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,existing_fusion,sistem,dengeli,cusum,critical,1.33,normal,0,0,,13,6.7653268580555554,1.9215627378772904,,
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,altitude_anomaly,114,0,0.0,3,1.4421181852777778,2.0802733303180325,,
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,external_position_anomaly,50,1,0.02,1,0.7340355269444444,1.3623318808051168,37.87088199999971,37.87088199999971
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,global_position_anomaly,51,2,0.0392156862745098,9,0.6878973927777778,13.083346578270008,123.44735600000001,163.92393300000003
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,mechanical_fault,43,7,0.16279069767441862,16,1.299568493888889,12.311778929112739,10.999297142857127,44.04442399999999
split_00,0,itki_komutu,mekanik,dengeli,cusum,critical,0.67,normal,0,0,,9,6.7653268580555554,1.330312664684278,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,existing_fusion,sistem,dengeli,threshold,advisory,8.0,normal,0,0,,0,6.7653268580555554,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,altitude_anomaly,114,0,0.0,6,1.4421181852777778,4.160546660636065,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,external_position_anomaly,50,5,0.1,16,0.7340355269444444,21.79731009288187,21.912615600000002,33.531859999999995
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,global_position_anomaly,51,0,0.0,1,0.6878973927777778,1.4537051753633343,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,mechanical_fault,43,0,0.0,3,1.299568493888889,2.3084585492086385,,
split_00,0,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,normal,0,0,,29,6.7653268580555554,4.28656303064934,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,external_position_anomaly,50,0,0.0,0,0.7340355269444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
