split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,esit,k_of_n,advisory,6.0,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,itki_komutu,mekanik,esit,k_of_n,advisory,6.0,258,31,0.12015503875968993,167,10.928946456944445,15.280521380346343,5.721577516129033,29.95837999999999
split_00,0,existing_fusion,sistem,esit,cusum,advisory,6.0,258,39,0.1511627906976744,103,10.928946456944445,9.424513186680679,21.682246948717957,62.099672999999996
split_00,0,itki_komutu,mekanik,esit,cusum,advisory,6.0,258,21,0.08139534883720931,148,10.928946456944445,13.54201894785185,12.185197857142851,54.861707000000024
split_01,1,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,258,0,0.0,8,10.734994461388888,0.7452262810916219,,
split_01,1,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,258,30,0.11627906976744186,138,10.734994461388888,12.855153348830477,6.540476999999997,37.030945
split_01,1,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,258,38,0.14728682170542637,149,10.734994461388888,13.879839485331457,20.977046052631568,61.09803299999999
split_01,1,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,258,24,0.09302325581395349,136,10.734994461388888,12.668846778557572,9.454597749999992,53.03603799999999
split_01,1,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,258,0,0.0,28,10.734994461388888,2.608291983820677,,
split_01,1,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,258,33,0.12790697674418605,196,10.734994461388888,18.258043886744737,7.013226909090904,37.030945
split_01,1,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,258,58,0.2248062015503876,257,10.734994461388888,23.940394280068354,16.653377482758625,50.99932000000001
split_01,1,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,258,31,0.12015503875968993,206,10.734994461388888,19.189576738109263,11.616554419354827,61.937130000000025
split_01,1,existing_fusion,sistem,dengeli,threshold,critical,1.33,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,dengeli,threshold,critical,0.67,258,0,0.0,8,10.734994461388888,0.7452262810916219,,
split_01,1,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,258,30,0.11627906976744186,138,10.734994461388888,12.855153348830477,6.540476999999997,37.030945
split_01,1,existing_fusion,sistem,dengeli,cusum,critical,1.33,258,41,0.15891472868217055,140,10.734994461388888,13.041459919103383,22.631746560975614,67.10841199999999
split_01,1,itki_komutu,mekanik,dengeli,cusum,critical,0.67,258,32,0.12403100775193798,167,10.734994461388888,15.556598617787607,10.476709906249997,45.952394
split_01,1,existing_fusion,sistem,dengeli,threshold,advisory,8.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,258,0,0.0,35,10.734994461388888,3.260364979775846,,
split_01,1,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,dengeli,k_of_n,advisory,4.0,258,32,0.12403100775193798,206,10.734994461388888,19.189576738109263,7.140103999999995,37.030945
split_01,1,existing_fusion,sistem,dengeli,cusum,advisory,8.0,258,53,0.2054263565891473,244,10.734994461388888,22.729401573294467,17.092737943396227,50.957589
split_01,1,itki_komutu,mekanik,dengeli,cusum,advisory,4.0,258,31,0.12015503875968993,252,10.734994461388888,23.47462785438609,13.389272612903222,44.960684999999984
split_01,1,existing_fusion,sistem,esit,threshold,critical,1.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,esit,threshold,critical,1.0,258,0,0.0,8,10.734994461388888,0.7452262810916219,,
split_01,1,existing_fusion,sistem,esit,k_of_n,critical,1.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,esit,k_of_n,critical,1.0,258,30,0.11627906976744186,138,10.734994461388888,12.855153348830477,6.540476999999997,37.030945
split_01,1,existing_fusion,sistem,esit,cusum,critical,1.0,258,39,0.1511627906976744,137,10.734994461388888,12.762000063694025,21.982708846153848,70.9903250000001
split_01,1,itki_komutu,mekanik,esit,cusum,critical,1.0,258,29,0.1124031007751938,185,10.734994461388888,17.233357750243755,13.520973310344822,74.89029800000003
split_01,1,existing_fusion,sistem,esit,threshold,advisory,6.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,esit,threshold,advisory,6.0,258,47,0.1821705426356589,162,10.734994461388888,15.090832192105344,6.971771744680851,92.99668399999996
split_01,1,existing_fusion,sistem,esit,k_of_n,advisory,6.0,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,itki_komutu,mekanik,esit,k_of_n,advisory,6.0,258,32,0.12403100775193798,211,10.734994461388888,19.655343163791528,7.140103999999995,37.030945
split_01,1,existing_fusion,sistem,esit,cusum,advisory,6.0,258,47,0.1821705426356589,213,10.734994461388888,19.841649734064433,18.404818978723416,49.952061000000015
split_01,1,itki_komutu,mekanik,esit,cusum,advisory,6.0,258,38,0.14728682170542637,384,10.734994461388888,35.77086149239785,8.610048684210517,32.996072
split_02,2,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,258,0,0.0,23,10.752868880833333,2.1389640527465943,,
split_02,2,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,258,39,0.1511627906976744,21,10.752868880833333,1.9529671785947165,6.648663769230765,34.552909
split_02,2,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,258,51,0.19767441860465115,147,10.752868880833333,13.670770250163015,19.160302686274512,52.98159900000002
split_02,2,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,258,50,0.1937984496124031,373,10.752868880833333,34.6884170293252,11.624576399999997,60.003401
split_02,2,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,258,0,0.0,23,10.752868880833333,2.1389640527465943,,
split_02,2,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,258,39,0.1511627906976744,21,10.752868880833333,1.9529671785947165,6.648663769230765,34.552909
split_02,2,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,258,54,0.20930232558139536,284,10.752868880833333,26.41155612956664,14.691342592592589,44.077178
split_02,2,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,258,51,0.19767441860465115,549,10.752868880833333,51.056141954690446,12.946908235294117,94.01110299999993
split_02,2,existing_fusion,sistem,dengeli,threshold,critical,1.33,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,dengeli,threshold,critical,0.67,258,0,0.0,23,10.752868880833333,2.1389640527465943,,
split_02,2,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,258,39,0.1511627906976744,21,10.752868880833333,1.9529671785947165,6.648663769230765,34.552909
split_02,2,existing_fusion,sistem,dengeli,cusum,critical,1.33,258,49,0.18992248062015504,142,10.752868880833333,13.20577806478332,19.327686326530607,56.01997000000006
split_02,2,itki_komutu,mekanik,dengeli,cusum,critical,0.67,258,49,0.18992248062015504,406,10.752868880833333,37.75736545283119,11.646683183673456,56.02954500000001
split_02,2,existing_fusion,sistem,dengeli,threshold,advisory,8.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,258,36,0.13953488372093023,44,10.752868880833333,4.09193123134131,3.839707555555553,18.010423000000003
split_02,2,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,dengeli,k_of_n,advisory,4.0,258,35,0.13565891472868216,44,10.752868880833333,4.09193123134131,5.371276085714281,27.02733099999999
split_02,2,existing_fusion,sistem,dengeli,cusum,advisory,8.0,258,57,0.22093023255813954,233,10.752868880833333,21.66863583869376,16.065420228070174,46.94596899999999
split_02,2,itki_komutu,mekanik,dengeli,cusum,advisory,4.0,258,52,0.20155038759689922,626,10.752868880833333,58.21702160953774,16.469843711538452,116.949501
split_02,2,existing_fusion,sistem,esit,threshold,critical,1.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,esit,threshold,critical,1.0,258,0,0.0,23,10.752868880833333,2.1389640527465943,,
split_02,2,existing_fusion,sistem,esit,k_of_n,critical,1.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,esit,k_of_n,critical,1.0,258,39,0.1511627906976744,21,10.752868880833333,1.9529671785947165,6.648663769230765,34.552909
split_02,2,existing_fusion,sistem,esit,cusum,critical,1.0,258,46,0.17829457364341086,126,10.752868880833333,11.717803071568298,20.356798760869566,50.987885000000006
split_02,2,itki_komutu,mekanik,esit,cusum,critical,1.0,258,53,0.2054263565891473,436,10.752868880833333,40.54731856510935,13.92791764150942,96.04338699999994
split_02,2,existing_fusion,sistem,esit,threshold,advisory,6.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,esit,threshold,advisory,6.0,258,36,0.13953488372093023,44,10.752868880833333,4.09193123134131,3.839707555555553,18.010423000000003
split_02,2,existing_fusion,sistem,esit,k_of_n,advisory,6.0,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,itki_komutu,mekanik,esit,k_of_n,advisory,6.0,258,35,0.13565891472868216,44,10.752868880833333,4.09193123134131,5.371276085714281,27.02733099999999
split_02,2,existing_fusion,sistem,esit,cusum,advisory,6.0,258,54,0.20930232558139536,189,10.752868880833333,17.576704607352447,17.354204518518515,50.957589
split_02,2,itki_komutu,mekanik,esit,cusum,advisory,6.0,258,47,0.1821705426356589,669,10.752868880833333,62.21595440380311,17.716297978723397,116.949501
split_03,3,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,258,44,0.17054263565891473,84,10.698249402777778,7.85175189299565,4.991564454545453,33.531859999999995
split_03,3,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,258,28,0.10852713178294573,232,10.698249402777778,21.685790942559414,6.29763675,29.95837999999999
split_03,3,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,258,47,0.1821705426356589,278,10.698249402777778,25.98555983634275,18.685699914893615,55.87771900000001
split_03,3,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,258,28,0.10852713178294573,121,10.698249402777778,11.310261655386592,10.85475135714285,57.08643699999999
split_03,3,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,258,44,0.17054263565891473,84,10.698249402777778,7.85175189299565,4.991564454545453,33.531859999999995
split_03,3,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,258,28,0.10852713178294573,232,10.698249402777778,21.685790942559414,6.29763675,29.95837999999999
split_03,3,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,258,69,0.26744186046511625,425,10.698249402777778,39.726125649085134,14.695316231884055,48.97536600000001
split_03,3,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,258,30,0.11627906976744186,190,10.698249402777778,17.75991499606159,9.567003900000003,44.943253999999996
split_03,3,existing_fusion,sistem,dengeli,threshold,critical,1.33,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,dengeli,threshold,critical,0.67,258,44,0.17054263565891473,84,10.698249402777778,7.85175189299565,4.991564454545453,33.531859999999995
split_03,3,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,258,28,0.10852713178294573,232,10.698249402777778,21.685790942559414,6.29763675,29.95837999999999
split_03,3,existing_fusion,sistem,dengeli,cusum,critical,1.33,258,45,0.1744186046511628,280,10.698249402777778,26.1725063099855,19.15683115555555,55.87771900000001
split_03,3,itki_komutu,mekanik,dengeli,cusum,critical,0.67,258,34,0.13178294573643412,154,10.698249402777778,14.394878470492024,9.445858823529399,49.99851699999999
split_03,3,existing_fusion,sistem,dengeli,threshold,advisory,8.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,258,44,0.17054263565891473,289,10.698249402777778,27.013765441377892,8.128585409090904,92.99668399999996
split_03,3,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,dengeli,k_of_n,advisory,4.0,258,27,0.10465116279069768,276,10.698249402777778,25.798613362699992,11.924657814814807,162.91602999999986
split_03,3,existing_fusion,sistem,dengeli,cusum,advisory,8.0,258,69,0.26744186046511625,412,10.698249402777778,38.51097357040724,15.30615117391305,50.99932000000001
split_03,3,itki_komutu,mekanik,dengeli,cusum,advisory,4.0,258,33,0.12790697674418605,225,10.698249402777778,21.031478284809776,12.948647212121193,56.042305999999826
split_03,3,existing_fusion,sistem,esit,threshold,critical,1.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,esit,threshold,critical,1.0,258,44,0.17054263565891473,84,10.698249402777778,7.85175189299565,4.991564454545453,33.531859999999995
split_03,3,existing_fusion,sistem,esit,k_of_n,critical,1.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,esit,k_of_n,critical,1.0,258,28,0.10852713178294573,232,10.698249402777778,21.685790942559414,6.29763675,29.95837999999999
split_03,3,existing_fusion,sistem,esit,cusum,critical,1.0,258,44,0.17054263565891473,261,10.698249402777778,24.39651481037934,22.188529909090907,63.100659000000064
split_03,3,itki_komutu,mekanik,esit,cusum,critical,1.0,258,29,0.1124031007751938,170,10.698249402777778,15.890450259634054,11.835556275862054,46.96460099999999
split_03,3,existing_fusion,sistem,esit,threshold,advisory,6.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,esit,threshold,advisory,6.0,258,44,0.17054263565891473,291,10.698249402777778,27.200711915020644,8.128585409090904,92.99668399999996
split_03,3,existing_fusion,sistem,esit,k_of_n,advisory,6.0,258,0,0.0,0,10.698249402777778,0.0,,
split_03,3,itki_komutu,mekanik,esit,k_of_n,advisory,6.0,258,27,0.10465116279069768,275,10.698249402777778,25.705140125878618,11.44399948148148,149.93825500000003
split_03,3,existing_fusion,sistem,esit,cusum,advisory,6.0,258,60,0.23255813953488372,372,10.698249402777778,34.77204409755216,17.59128248333333,53.989149
split_03,3,itki_komutu,mekanik,esit,cusum,advisory,6.0,258,38,0.14728682170542637,277,10.698249402777778,25.89208659952137,10.58911584210526,36.03760399999999
split_04,4,existing_fusion,sistem,agirlikli_sistem,threshold,critical,1.67,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,agirlikli_sistem,threshold,critical,0.33,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,existing_fusion,sistem,agirlikli_sistem,k_of_n,critical,1.67,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,agirlikli_sistem,k_of_n,critical,0.33,258,4,0.015503875968992248,14,10.676185670277778,1.3113297606818166,24.141603,34.552909
split_04,4,existing_fusion,sistem,agirlikli_sistem,cusum,critical,1.67,258,4,0.015503875968992248,16,10.676185670277778,1.4986625836363618,31.278329,47.98272899999995
split_04,4,itki_komutu,mekanik,agirlikli_sistem,cusum,critical,0.33,258,16,0.06201550387596899,72,10.676185670277778,6.743981626363628,14.687371624999983,52.023120000000006
split_04,4,existing_fusion,sistem,agirlikli_sistem,threshold,advisory,10.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,agirlikli_sistem,threshold,advisory,2.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,existing_fusion,sistem,agirlikli_sistem,k_of_n,advisory,10.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,agirlikli_sistem,k_of_n,advisory,2.0,258,4,0.015503875968992248,14,10.676185670277778,1.3113297606818166,24.141603,34.552909
split_04,4,existing_fusion,sistem,agirlikli_sistem,cusum,advisory,10.0,258,27,0.10465116279069768,73,10.676185670277778,6.837648037840902,20.042068555555556,70.002318
split_04,4,itki_komutu,mekanik,agirlikli_sistem,cusum,advisory,2.0,258,22,0.08527131782945736,98,10.676185670277778,9.179308324772716,16.447936499999983,162.91602999999986
split_04,4,existing_fusion,sistem,dengeli,threshold,critical,1.33,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,dengeli,threshold,critical,0.67,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,258,4,0.015503875968992248,14,10.676185670277778,1.3113297606818166,24.141603,34.552909
split_04,4,existing_fusion,sistem,dengeli,cusum,critical,1.33,258,4,0.015503875968992248,15,10.676185670277778,1.4049961721590893,33.27098699999999,50.01037899999994
split_04,4,itki_komutu,mekanik,dengeli,cusum,critical,0.67,258,15,0.05813953488372093,86,10.676185670277778,8.055311387045446,13.657617066666637,49.99851699999999
split_04,4,existing_fusion,sistem,dengeli,threshold,advisory,8.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,dengeli,threshold,advisory,4.0,258,5,0.01937984496124031,37,10.676185670277778,3.465657224659087,21.912615600000002,33.531859999999995
split_04,4,existing_fusion,sistem,dengeli,k_of_n,advisory,8.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,dengeli,k_of_n,advisory,4.0,258,32,0.12403100775193798,50,10.676185670277778,4.683320573863631,4.728518968749999,27.02733099999999
split_04,4,existing_fusion,sistem,dengeli,cusum,advisory,8.0,258,24,0.09302325581395349,66,10.676185670277778,6.181983157499993,24.752691958333333,99.94067800000005
split_04,4,itki_komutu,mekanik,dengeli,cusum,advisory,4.0,258,26,0.10077519379844961,109,10.676185670277778,10.209638851022715,14.393170153846135,158.04163199999994
split_04,4,existing_fusion,sistem,esit,threshold,critical,1.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,esit,threshold,critical,1.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,existing_fusion,sistem,esit,k_of_n,critical,1.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,esit,k_of_n,critical,1.0,258,4,0.015503875968992248,14,10.676185670277778,1.3113297606818166,24.141603,34.552909
split_04,4,existing_fusion,sistem,esit,cusum,critical,1.0,258,4,0.015503875968992248,9,10.676185670277778,0.8429977032954535,32.77570250000001,53.98036300000001
split_04,4,itki_komutu,mekanik,esit,cusum,critical,1.0,258,15,0.05813953488372093,90,10.676185670277778,8.429977032954536,11.19924073333332,46.96460099999999
split_04,4,existing_fusion,sistem,esit,threshold,advisory,6.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,esit,threshold,advisory,6.0,258,5,0.01937984496124031,37,10.676185670277778,3.465657224659087,21.912615600000002,33.531859999999995
split_04,4,existing_fusion,sistem,esit,k_of_n,advisory,6.0,258,0,0.0,0,10.676185670277778,0.0,,
split_04,4,itki_komutu,mekanik,esit,k_of_n,advisory,6.0,258,32,0.12403100775193798,50,10.676185670277778,4.683320573863631,4.728518968749999,27.02733099999999
split_04,4,existing_fusion,sistem,esit,cusum,advisory,6.0,258,8,0.031007751937984496,24,10.676185670277778,2.2479938754545428,45.531449125,71.986897
split_04,4,itki_komutu,mekanik,esit,cusum,advisory,6.0,258,25,0.09689922480620156,115,10.676185670277778,10.771637319886352,14.199144879999983,156.03310699999997
