z,sigma_0_2,sigma_1_0,sigma_2_0
-2.14,0.6803620875658998,2.2898,2.9829471805599455
-2.13,0.6590120875658994,2.2684499999999996,2.961597180559945
-2.12,0.6377620875659,2.2472000000000003,2.9403471805599457
-2.11,0.6166120875658996,2.22605,2.9191971805599453
-2.1,0.5955620875658998,2.205,2.8981471805599455
-2.09,0.5746120875658993,2.1840499999999996,2.877197180559945
-2.08,0.5537620875659,2.1632000000000002,2.8563471805599456
-2.07,0.5330120875658995,2.1424499999999997,2.835597180559945
-2.06,0.5123620875658996,2.1218,2.8149471805599453
-2.05,0.49181208756589956,2.10125,2.7943971805599452
-2.04,0.4713620875658997,2.0808,2.7739471805599454
-2.0300000000000002,0.45101208756590005,2.0604500000000003,2.7535971805599457
-2.02,0.43076208756589973,2.0402,2.7333471805599454
-2.01,0.4106120875658992,2.0200499999999995,2.713197180559945
-2.0,0.3905620875658997,2.0,2.6931471805599454
-1.99,0.3706120875658998,1.98005,2.6731971805599453
-1.98,0.35076208756589966,1.9602,2.6533471805599453
-1.97,0.3310120875658997,1.94045,2.633597180559945
-1.96,0.31136208756589956,1.9207999999999998,2.6139471805599452
-1.95,0.2918120875658996,1.9012499999999999,2.594397180559945
-1.94,0.27236208756589964,1.8818,2.574947180559945
-1.93,0.25301208756589966,1.86245,2.5555971805599453
-1.92,0.23376208756589967,1.8432,2.5363471805599453
-1.91,0.21461208756589967,1.82405,2.517197180559945
-1.9,0.19556208756589966,1.805,2.498147180559945
-1.89,0.17661208756589963,1.78605,2.4791971805599453
-1.88,0.1577620875658996,1.7671999999999999,2.4603471805599453
-1.8699999999999999,0.13901208756589956,1.7484499999999998,2.441597180559945
-1.8599999999999999,0.1203620875658995,1.7297999999999998,2.422947180559945
-1.8499999999999999,0.10181208756589943,1.7112499999999997,2.404397180559945
-1.84,0.0833620875658998,1.6928,2.3859471805599455
-1.83,0.06501208756589993,1.6744500000000002,2.3675971805599456
-1.82,0.046762087565899835,1.6562000000000001,2.3493471805599455
-1.81,0.028612087565899724,1.63805,2.331197180559945
-1.8,0.010562087565899825,1.62,2.3131471805599455
-1.79,-0.007387912434100308,1.60205,2.295197180559945
-1.78,-0.02523791243410023,1.5842,2.2773471805599454
-1.77,-0.04298791243410016,1.5664500000000001,2.2595971805599455
-1.76,-0.06063791243410033,1.5488,2.2419471805599454
-1.75,-0.07818791243410028,1.53125,2.2243971805599454
-1.74,-0.09563791243410025,1.5138,2.206947180559945
-1.73,-0.11298791243410022,1.49645,2.1895971805599452
-1.72,-0.13023791243410043,1.4791999999999998,2.172347180559945
-1.71,-0.14738791243410043,1.4620499999999998,2.155197180559945
-1.7,-0.16443791243410044,1.4449999999999998,2.1381471805599452
-1.69,-0.18138791243410046,1.4280499999999998,2.121197180559945
-1.68,-0.1982379124341005,1.4111999999999998,2.104347180559945
-1.67,-0.21498791243410031,1.39445,2.0875971805599454
