split,seed,score_source,allocation,decision,budget,system_budget_per_hour,mechanical_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Outputs,25,4,0.16,11,0.7446180683333333,14.772674029547957,15.253435250000003,44.04442399999999
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Outputs+Controls,41,7,0.17073170731707318,18,1.206307534722222,14.921568076041972,10.999297142857127,44.04442399999999
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.X,54,14,0.25925925925925924,35,0.9378571405555555,37.319116618621855,28.87922985714284,51.084812
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.Y,55,13,0.23636363636363636,45,1.0971975144444444,41.013581791410935,19.461973999999998,50.97184200000004
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Position.Z,113,0,0.0,3,1.4244670750000001,2.1060507839396707,,
split_00,0,channel_union,dengeli,cusum,critical,1.33,0.67,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,33.02471700000001,33.02471700000001
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Outputs,25,0,0.0,3,0.7446180683333333,4.028911098967625,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Outputs+Controls,41,0,0.0,3,1.206307534722222,2.486928012673662,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Position.X,54,5,0.09259259259259259,11,0.9378571405555555,11.72886522299544,21.912615600000002,33.531859999999995
split_00,0,channel_union,dengeli,threshold,advisory,8.0,4.0,Position.Y,55,0,0.0,12,1.0971975144444444,10.936955144376249,,
