split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm,lstm_rankpct,threshold,advisory,Actuator Outputs+Controls,42,7,0.16666666666666666,35,1.2128293091666666,28.858141649007848,14.997802857142839,25.95426299999997
split_00,0,lstm,lstm_rankpct,threshold,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_rankpct,threshold,advisory,Battery,2,0,0.0,3,0.06345890611111113,47.27468820132601,,
split_00,0,lstm,lstm_rankpct,threshold,advisory,Position.X,145,87,0.6,411,2.3575775725,174.3314853322817,3.3028302183908047,28.925309999999996
split_00,0,lstm,lstm_rankpct,threshold,advisory,Position.Y,96,42,0.4375,254,1.713746643611111,148.2132735004431,4.861625547619045,52.026478
split_00,0,lstm,lstm_rankpct,threshold,advisory,Position.Z,121,22,0.18181818181818182,147,1.5845958772222224,92.76813231250433,3.9656756363636316,38.979185
split_00,0,lstm,lstm_rankpct,threshold,advisory,Velocity,2,1,0.5,1,0.0036470161111110933,274.1967596340949,7.008757999999943,7.008757999999943
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Actuator Controls,17,1,0.058823529411764705,8,0.5114270366666666,15.642505042638506,4.069555000000037,4.069555000000037
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Actuator Outputs,25,3,0.12,15,0.7446180683333333,20.144555494838123,19.605769333333324,27.879136000000017
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Actuator Outputs+Controls,42,4,0.09523809523809523,22,1.2128293091666666,18.139403322233505,15.721715750000001,27.879136000000017
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Actuator Thrust,2,0,0.0,1,0.06510427361111108,15.359974768681454,,
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Battery,2,0,0.0,3,0.06345890611111113,47.27468820132601,,
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Position.X,145,59,0.4068965517241379,169,2.3575775725,71.68374944320098,7.293576830508473,61.08800699999995
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Position.Y,96,30,0.3125,114,1.713746643611111,66.52091802775793,13.038429866666666,168.9904059999999
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Position.Z,121,17,0.14049586776859505,81,1.5845958772222224,51.11713413137994,10.425959176470585,47.994821
split_00,0,lstm,lstm_rankpct,k_of_n,advisory,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,7.008757999999943,7.008757999999943
split_00,0,lstm,lstm_rankpct,cusum,advisory,Actuator Controls,17,1,0.058823529411764705,7,0.5114270366666666,13.687191912308693,18.00840699999992,18.00840699999992
split_00,0,lstm,lstm_rankpct,cusum,advisory,Actuator Outputs,25,2,0.08,9,0.7446180683333333,12.086733296902874,27.46414649999997,32.958714999999984
split_00,0,lstm,lstm_rankpct,cusum,advisory,Actuator Outputs+Controls,42,3,0.07142857142857142,14,1.2128293091666666,11.54325665960314,24.312233333333285,32.958714999999984
split_00,0,lstm,lstm_rankpct,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_rankpct,cusum,advisory,Battery,2,0,0.0,3,0.06345890611111113,47.27468820132601,,
split_00,0,lstm,lstm_rankpct,cusum,advisory,Position.X,145,49,0.33793103448275863,110,2.3575775725,46.658061767763954,11.546023979591837,54.092416
split_00,0,lstm,lstm_rankpct,cusum,advisory,Position.Y,96,31,0.3229166666666667,70,1.713746643611111,40.84617773634259,12.91519874193549,43.88970299999983
split_00,0,lstm,lstm_rankpct,cusum,advisory,Position.Z,121,13,0.10743801652892562,53,1.5845958772222224,33.44701369090292,13.60288,46.977417
split_00,0,lstm,lstm_rankpct,cusum,advisory,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,9.03744299999994,9.03744299999994
