split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Position.Z,121,2,0.01652892561983471,5,1.5845958772222224,3.1553786500851815,13.4664085,24.99839300000002
split_00,0,dense_ae,dense_ae_rankpct,threshold,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,4.523490999999979,4.980281999999988
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Actuator Outputs,25,0,0.0,6,0.7446180683333333,8.05782219793525,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,7,1.2128293091666666,5.77162832980157,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Battery,2,0,0.0,1,0.06345890611111113,15.758229400442001,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Position.X,145,57,0.3931034482758621,76,2.3575775725,32.236479039546005,6.510438333333335,30.054802999999993
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Position.Y,96,24,0.25,45,1.713746643611111,26.258257116220236,9.776069416666676,63.961658
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Position.Z,121,1,0.008264462809917356,7,1.5845958772222224,4.417530110119254,2.9519789999999944,2.9519789999999944
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,6.505766499999993,7.008757999999943
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
