split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad,usad_rankpct,cusum,advisory,normal,0,0,,292,27.959377571111112,10.443723192955037,,
split_01,1,usad,usad_relerr,threshold,critical,altitude_anomaly,114,19,0.16666666666666666,107,1.4421181852777778,74.19641544800982,6.212063210526316,43.013206999999966
split_01,1,usad,usad_relerr,threshold,critical,external_position_anomaly,185,89,0.4810810810810811,245,2.7663557002777774,88.56417125801967,4.2886,32.03156000000001
split_01,1,usad,usad_relerr,threshold,critical,global_position_anomaly,51,4,0.0784313725490196,17,0.6878973927777778,24.712987981176685,2.2801425,4.050720999999996
split_01,1,usad,usad_relerr,threshold,critical,mechanical_fault,43,1,0.023255813953488372,4,1.299568493888889,3.0779447322781848,3.9689970000000017,3.9689970000000017
split_01,1,usad,usad_relerr,threshold,critical,normal,0,0,,526,27.63281452361111,19.035339290196244,,
split_01,1,usad,usad_relerr,k_of_n,critical,altitude_anomaly,114,19,0.16666666666666666,72,1.4421181852777778,49.92655992763277,7.988475842105262,53.98689999999999
split_01,1,usad,usad_relerr,k_of_n,critical,external_position_anomaly,185,85,0.4594594594594595,154,2.7663557002777774,55.668907647898074,5.610173423529411,32.057963
split_01,1,usad,usad_relerr,k_of_n,critical,global_position_anomaly,51,3,0.058823529411764705,16,0.6878973927777778,23.25928280581335,4.386373000000002,6.075935999999999
split_01,1,usad,usad_relerr,k_of_n,critical,mechanical_fault,43,0,0.0,5,1.299568493888889,3.847430915347731,,
split_01,1,usad,usad_relerr,k_of_n,critical,normal,0,0,,311,27.63281452361111,11.254734827473445,,
split_01,1,usad,usad_relerr,cusum,critical,altitude_anomaly,114,5,0.043859649122807015,15,1.4421181852777778,10.40136665159016,17.40141380000001,42.99045700000005
split_01,1,usad,usad_relerr,cusum,critical,external_position_anomaly,185,22,0.11891891891891893,42,2.7663557002777774,15.182429358517657,33.767453272727266,92.16841899999999
split_01,1,usad,usad_relerr,cusum,critical,global_position_anomaly,51,17,0.3333333333333333,17,0.6878973927777778,24.712987981176685,22.581027941176465,61.95455000000004
split_01,1,usad,usad_relerr,cusum,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,0.0,0.0
split_01,1,usad,usad_relerr,cusum,critical,normal,0,0,,120,27.63281452361111,4.342662955938307,,
split_01,1,usad,usad_relerr,threshold,advisory,altitude_anomaly,114,8,0.07017543859649122,39,1.4421181852777778,27.04355329413442,6.493828875000009,24.99839300000002
split_01,1,usad,usad_relerr,threshold,advisory,external_position_anomaly,185,74,0.4,148,2.7663557002777774,53.49998916810984,4.012819216216214,30.054137999999995
split_01,1,usad,usad_relerr,threshold,advisory,global_position_anomaly,51,11,0.21568627450980393,55,0.6878973927777778,79.95378464498339,3.9251223636363606,25.013423999999986
split_01,1,usad,usad_relerr,threshold,advisory,mechanical_fault,43,3,0.06976744186046512,42,1.299568493888889,32.31841968892094,2.9506366666666586,3.9689970000000017
split_01,1,usad,usad_relerr,threshold,advisory,normal,0,0,,478,27.63281452361111,17.298274107820923,,
split_01,1,usad,usad_relerr,k_of_n,advisory,altitude_anomaly,114,7,0.06140350877192982,39,1.4421181852777778,27.04355329413442,2.976362142857147,5.997671
split_01,1,usad,usad_relerr,k_of_n,advisory,external_position_anomaly,185,48,0.2594594594594595,116,2.7663557002777774,41.932423942572576,5.2763727916666605,32.057963
split_01,1,usad,usad_relerr,k_of_n,advisory,global_position_anomaly,51,5,0.09803921568627451,43,0.6878973927777778,62.50932254062337,10.845234599999989,22.987937999999986
split_01,1,usad,usad_relerr,k_of_n,advisory,mechanical_fault,43,0,0.0,16,1.299568493888889,12.311778929112739,,
split_01,1,usad,usad_relerr,k_of_n,advisory,normal,0,0,,329,27.63281452361111,11.906134270864191,,
split_01,1,usad,usad_relerr,cusum,advisory,altitude_anomaly,114,15,0.13157894736842105,60,1.4421181852777778,41.60546660636064,15.481976266666665,43.013206999999966
split_01,1,usad,usad_relerr,cusum,advisory,external_position_anomaly,185,75,0.40540540540540543,146,2.7663557002777774,52.77701634151376,11.045941959999997,41.072492
split_01,1,usad,usad_relerr,cusum,advisory,global_position_anomaly,51,24,0.47058823529411764,31,0.6878973927777778,45.064860436263366,11.780690250000005,33.98957600000003
split_01,1,usad,usad_relerr,cusum,advisory,mechanical_fault,43,0,0.0,21,1.299568493888889,16.15920984446047,,
split_01,1,usad,usad_relerr,cusum,advisory,normal,0,0,,429,27.63281452361111,15.525020067479447,,
split_01,1,usad,usad_rankpct,threshold,critical,altitude_anomaly,114,3,0.02631578947368421,21,1.4421181852777778,14.561913312226226,3.3889506666666676,5.081461999999995
split_01,1,usad,usad_rankpct,threshold,critical,external_position_anomaly,185,97,0.5243243243243243,141,2.7663557002777774,50.969584275023564,4.798752175257731,63.05880100000002
split_01,1,usad,usad_rankpct,threshold,critical,global_position_anomaly,51,4,0.0784313725490196,13,0.6878973927777778,18.898167279723346,2.0255314999999996,4.050720999999996
split_01,1,usad,usad_rankpct,threshold,critical,mechanical_fault,43,2,0.046511627906976744,6,1.299568493888889,4.616917098417277,13.985342500000002,24.001688
split_01,1,usad,usad_rankpct,threshold,critical,normal,0,0,,299,27.63281452361111,10.820468531879614,,
split_01,1,usad,usad_rankpct,k_of_n,critical,altitude_anomaly,114,3,0.02631578947368421,38,1.4421181852777778,26.350128850695075,2.9821133333333343,5.997671
split_01,1,usad,usad_rankpct,k_of_n,critical,external_position_anomaly,185,94,0.5081081081081081,150,2.7663557002777774,54.22296199470592,5.677610925531914,54.047971000000075
split_01,1,usad,usad_rankpct,k_of_n,critical,global_position_anomaly,51,2,0.0392156862745098,14,0.6878973927777778,20.35187245508668,5.563561499999999,6.075935999999999
split_01,1,usad,usad_rankpct,k_of_n,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,24.918386999999996,24.918386999999996
split_01,1,usad,usad_rankpct,k_of_n,critical,normal,0,0,,334,27.63281452361111,12.087078560694954,,
split_01,1,usad,usad_rankpct,cusum,critical,altitude_anomaly,114,3,0.02631578947368421,14,1.4421181852777778,9.707942208150817,41.34763066666667,82.02917100000002
split_01,1,usad,usad_rankpct,cusum,critical,external_position_anomaly,185,23,0.12432432432432433,41,2.7663557002777774,14.820942945219617,32.41280208695651,86.157236
split_01,1,usad,usad_rankpct,cusum,critical,global_position_anomaly,51,19,0.37254901960784315,8,0.6878973927777778,11.629641402906675,26.044642368421062,62.88976100000002
split_01,1,usad,usad_rankpct,cusum,critical,mechanical_fault,43,2,0.046511627906976744,4,1.299568493888889,3.0779447322781848,11.958156499999973,21.983982999999967
split_01,1,usad,usad_rankpct,cusum,critical,normal,0,0,,88,27.63281452361111,3.184619501021425,,
split_01,1,usad,usad_rankpct,threshold,advisory,altitude_anomaly,114,12,0.10526315789473684,59,1.4421181852777778,40.9120421629213,3.167764583333334,14.033804999999973
split_01,1,usad,usad_rankpct,threshold,advisory,external_position_anomaly,185,60,0.32432432432432434,181,2.7663557002777774,65.42904080694514,4.232439033333331,30.054137999999995
split_01,1,usad,usad_rankpct,threshold,advisory,global_position_anomaly,51,3,0.058823529411764705,18,0.6878973927777778,26.166693156540017,2.360158333333331,4.050720999999996
split_01,1,usad,usad_rankpct,threshold,advisory,mechanical_fault,43,6,0.13953488372093023,21,1.299568493888889,16.15920984446047,9.650393833333311,23.00514800000002
split_01,1,usad,usad_rankpct,threshold,advisory,normal,0,0,,483,27.63281452361111,17.479218397651685,,
split_01,1,usad,usad_rankpct,k_of_n,advisory,altitude_anomaly,114,6,0.05263157894736842,32,1.4421181852777778,22.18958219005901,5.322213333333335,15.055696000000012
split_01,1,usad,usad_rankpct,k_of_n,advisory,external_position_anomaly,185,51,0.2756756756756757,121,2.7663557002777774,43.73985600906278,5.715532666666662,32.057963
split_01,1,usad,usad_rankpct,k_of_n,advisory,global_position_anomaly,51,2,0.0392156862745098,15,0.6878973927777778,21.805577630450014,5.563561499999999,6.075935999999999
split_01,1,usad,usad_rankpct,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,20,1.299568493888889,15.389723661390924,9.179127199999972,19.94304299999999
split_01,1,usad,usad_rankpct,k_of_n,advisory,normal,0,0,,317,27.63281452361111,11.47186797527036,,
split_01,1,usad,usad_rankpct,cusum,advisory,altitude_anomaly,114,11,0.09649122807017543,53,1.4421181852777778,36.75149550228524,21.000272363636363,45.972033999999994
split_01,1,usad,usad_rankpct,cusum,advisory,external_position_anomaly,185,78,0.42162162162162165,140,2.7663557002777774,50.608097861725525,12.536757282051282,61.15348
split_01,1,usad,usad_rankpct,cusum,advisory,global_position_anomaly,51,24,0.47058823529411764,27,0.6878973927777778,39.250039734810024,15.07278675,33.00536199999999
split_01,1,usad,usad_rankpct,cusum,advisory,mechanical_fault,43,2,0.046511627906976744,18,1.299568493888889,13.85075129525183,10.986016499999977,13.935276999999985
split_01,1,usad,usad_rankpct,cusum,advisory,normal,0,0,,385,27.63281452361111,13.932710316968734,,
split_02,2,usad,usad_relerr,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_02,2,usad,usad_relerr,threshold,critical,external_position_anomaly,185,53,0.2864864864864865,130,2.7663557002777774,46.99323372874513,9.262804584905659,70.11310600000002
split_02,2,usad,usad_relerr,threshold,critical,global_position_anomaly,51,8,0.1568627450980392,19,0.6878973927777778,27.620398331903353,3.0213802499999964,7.016041000000001
