pair,flight_count
KCOS->KPUB,1
KCOS->KSLI,1
KCXP->KTRK,1
KDAA->EDDK,1
KDAA->KATL,1
KDAA->KBIS,1
KDAA->KDCA,1
KDAA->KDOV,1
KDAA->KFBG,1
KDAA->KFME,1
KCOS->KSTL,1
KCOS->KTVL,1
KCOS->KVPS,1
KCOS->RJTY,1
KCOU->KOQU,1
KCOU->RJTY,1
KCRG->KNRB,1
KCRG->KNZY,1
KDCA->KACY,1
KCRQ->MMML,1
KCXO->KCLL,1
KCXP->KRNO,1
ETHC->ETNL,1
ETHC->LFOE,1
ETHL->EDDS,1
ETHL->EDFM,1
ETHL->EDJA,1
ETHL->ETIH,1
ETHL->ETSL,1
ETHN->EDFZ,1
ESSA->ESCF,1
ESSP->EGPF,1
ESSP->ESSL,1
ETAD->EDDR,1
KDLS->OMDB,1
KDMA->KABQ,1
KDMA->KNKX,1
KDMA->KSUU,1
KDAA->KHEF,1
KDAA->KIND,1
KDAA->KLYH,1
KDAA->KPKB,1
KDAA->KPRX,1
KDAA->LGAV,1
KDAB->KCRG,1
KDAG->KBAK,1
KDAL->KGGG,1
KDAL->KGRK,1
KDAL->PHJR,1
KDAN->KCAK,1
KDRA->KPMD,1
KDTS->KVPS,1
KDUG->KDMA,1
KDXR->KSWF,1
KDYS->KGRK,1
KDYS->KILG,1
KECG->CYBL,1
KDCA->KISO,1
KDEC->KMDW,1
KDEC->KMGE,1
KDFW->KDAL,1
KDFW->KSVR,1
KDHN->KLSF,1
KDLF->KVPS,1
KDLF->KXNA,1
KDLF->MMCC,1
EPSY->EYSB,1
EPWA->FNPA,1
KECP->KNEL,1
KEDW->KEND,1
KEDW->KOKC,1
KEDW->KSKA,1
KEFD->KEDW,1
KEGE->KBKF,1
KEGI->KAPF,1
KEGI->KDYS,1
KDMA->KSZL,1
KDMA->PAEI,1
KDNL->KEWN,1
KDOV->EGPK,1
KDOV->ETSB,1
KDOV->KSUU,1
KECG->PHJR,1
KECP->KEGI,1
ETAD->KSUU,1
ETAR->EDFH,1
ETAR->FNLU,1
ETAR->KCHS,1
ETAR->KDOV,1
ETAR->KDYS,1
ETAR->KSUU,1
ETAR->KTIK,1
ETAR->KWRB,1
ETAR->KWRI,1
EPKK->LEGT,1
EPKK->LIRQ,1
EPLL->EPRA,1
EPLY->EPLL,1
KFBG->KPKB,1
KFCS->KBKF,1
KFFO->LGSA,1
KEND->KAPA,1
KEND->KBLV,1
KEND->KNBG,1
KEND->KOKC,1
KEND->KRND,1
KEND->KSWO,1
KEWN->KEWR,1
KEWR->KMMU,1
KEYW->KNQX,1
KECG->KACV,1
KECG->KGPT,1
KECG->KPIE,1
KECG->KVQQ,1
KFRI->KSLN,1
KFSI->KHBR,1
KFSM->KLIT,1
KFTK->KGTB,1
KFTK->KHOP,1
KFTK->KSDF,1
KFTK->KTBN,1
KFAF->KBWG,1
KFAF->KHUA,1
KFAF->KVPS,1
KFAR->KBIS,1
KFAR->KSJT,1
KFAT->KPDT,1
KFAY->KAND,1
KFAY->KFRG,1
KFBG->KFAY,1
KGMU->KRDU,1
KGNV->KSGJ,1
KGON->KALB,1
KGON->KAPG,1
KGON->KBDL,1
KGON->KMUI,1
KGPT->KALB,1
KGPT->KBHM,1
KFHU->KHOP,1
KFME->LCPH,1
KFNL->KBJC,1
KFNL->KSFF,1
KFOE->KALO,1
KFOE->KMHK,1
KFOE->KSLN,1
KFRI->KFOE,1
ENOL->ENTC,1
ENRY->ENBO,1
KGRF->RJSA,1
KGRK->KAUS,1
KGRK->KDAL,1
KGRK->KHOP,1
KGSP->KGMU,1
KGTB->KHUA,1
KFTW->KGPT,1
KFTY->KMGE,1
KFTY->KPDK,1
KFTY->KWRB,1
KFYV->KLIT,1
KGEG->KSKA,1
KGMU->KLSV,1
KGMU->KNKT,1
KGRF->KPDX,1
KGRF->KSLI,1
EPWA->LTAE,1
EPZG->ETSI,1
ESCF->EDDK,1
ESCF->ESSL,1
ESDF->ESCF,1
ESDF->ESSL,1
ESDF->ESSP,1
ESFR->KADW,1
ESGT->LPVZ,1
ESSA->EPRZ,1
ENBR->ETMN,1
ENBS->KVQQ,1
ENGM->ENBO,1
ENNA->ENEV,1
KHOP->KILG,1
KGTB->KOZR,1
KGTB->KSVN,1
KGTB->KSWF,1
KGTR->KCBM,1
KGTR->KEND,1
KGTR->KOZR,1
KGTR->KTUP,1
KHBG->KJAN,1
KHEF->KHPN,1
KHEF->KICT,1
KHEF->KPHF,1
KHFD->KPDK,1
KHIF->KEWN,1
KGRF->KMSO,1
KGRF->KMWA,1
KIAB->KNGP,1
KIAD->EGUL,1
KHIF->RJOI,1
KHII->KNZY,1
KHLG->KGRF,1
KHLG->KPIT,1
KHLN->PAED,1
KHMN->KNKX,1
KHOP->KDAA,1
KHOP->KEND,1
KHOP->KFCS,1
KHOP->KFHU,1
KHOP->KFSM,1
KHOP->KHEF,1
KHOP->KHII,1
KHOP->KHSV,1
KILM->KOAJ,1
KIND->KBAK,1
KIND->KEGE,1
KHOP->KLEX,1
KHOP->KMUI,1
KHOP->KOKC,1
KHOP->KSTP,1
KHRL->KCRP,1
KHST->KDAL,1
KHUA->KPOB,1
