feature,category,auc,separation,q99_abs_ratio,n_pos,n_neg,pos_nonnull_frac,neg_nonnull_frac
noise_per_ms,ping_dos,0.4898290457795677,0.5101709542204322,0.0,29200,24334,1.0,0.9706034860994774
noise_per_ms_delta,gps_jamming,0.5,0.5,0.0,223,24082,0.20162748643761302,0.9605520322284712
noise_per_ms_delta,gps_spoofing,0.5,0.5,0.0,16235,24082,0.6689604021591331,0.9605520322284712
noise_per_ms_delta,ping_dos,0.5,0.5,0.0,29194,24082,0.9997945205479452,0.9605520322284712
battery_power_w,gps_jamming,0.5109467837768018,0.5109467837768018,1.0074458164735525,1106,1232,1.0,0.04914044114714212
battery_power_w,gps_spoofing,0.45646890627673936,0.5435310937232607,1.0866415947399342,683,1232,0.028142898347686348,0.04914044114714212
battery_power_w,ping_dos,,,,0,1232,0.0,0.04914044114714212
voltage_delta,gps_jamming,0.4902606059499242,0.5097393940500758,2.2199995428318875,1105,16105,0.9990958408679927,0.6423756531450681
voltage_delta,gps_spoofing,0.49999358747879874,0.5000064125212013,0.7491643728891502,15304,16105,0.6305987061683629,0.6423756531450681
voltage_delta,ping_dos,0.5006759519504123,0.5006759519504123,0.02577094734756797,18762,16105,0.6425342465753424,0.6423756531450681
remaining_delta,gps_jamming,0.4954167292976943,0.5045832707023057,1.9623495684266907,1105,16105,0.9990958408679927,0.6423756531450681
remaining_delta,gps_spoofing,0.5008878207619787,0.5008878207619787,1.0,15304,16105,0.6305987061683629,0.6423756531450681
remaining_delta,ping_dos,0.500662053777045,0.500662053777045,0.9207584499077356,18762,16105,0.6425342465753424,0.6423756531450681
jamming_1s_mean,gps_jamming,0.9775872507611836,0.9775872507611836,1.7272727272727273,1106,25071,1.0,1.0
jamming_1s_mean,gps_spoofing,0.4958227832193938,0.5041772167806062,0.9419696969696705,16784,25071,0.6915818533932176,1.0
jamming_1s_mean,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
jamming_5s_max,gps_jamming,0.9741119848923813,0.9741119848923813,1.3043478260869565,1106,25071,1.0,1.0
jamming_5s_max,gps_spoofing,0.4958013807041577,0.5041986192958423,0.9782608695652174,16784,25071,0.6915818533932176,1.0
jamming_5s_max,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
noise_5s_mean,gps_jamming,0.987136928951795,0.987136928951795,1.5890410958904109,1106,25071,1.0,1.0
noise_5s_mean,gps_spoofing,0.49638666558755784,0.5036133344124422,1.0637671232876695,16784,25071,0.6915818533932176,1.0
noise_5s_mean,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
noise_5s_std,gps_jamming,0.7033499327088936,0.7033499327088936,26.186146828318382,1105,25065,0.9990958408679927,0.9997606796697379
noise_5s_std,gps_spoofing,0.5018253821427897,0.5018253821427897,6.1245966058020045,16779,25065,0.6913758292471878,0.9997606796697379
noise_5s_std,ping_dos,0.4908039098344305,0.5091960901655694,0.0,29194,25065,0.9997945205479452,0.9997606796697379
hdop_5s_max,gps_jamming,0.9591181298277449,0.9591181298277449,5.402597402597403,1106,25071,1.0,1.0
hdop_5s_max,gps_spoofing,0.4966964661638354,0.5033035338361647,1.0909090909090908,16784,25071,0.6915818533932176,1.0
hdop_5s_max,ping_dos,0.47542977942642894,0.524570220573571,0.0,29200,25071,1.0,1.0
sats_5s_min,gps_jamming,0.9607523674356149,0.9607523674356149,1.1666666666666667,1106,25071,1.0,1.0
sats_5s_min,gps_spoofing,0.48987470555025064,0.5101252944497494,0.9166666666666666,16784,25071,0.6915818533932176,1.0
sats_5s_min,ping_dos,0.47542977942642894,0.524570220573571,0.8333333333333334,29200,25071,1.0,1.0
gps_step_5s_max,gps_jamming,0.16622905333011997,0.83377094666988,0.1190080384781449,1105,25065,0.9990958408679927,0.9997606796697379
gps_step_5s_max,gps_spoofing,0.5642352773610029,0.5642352773610029,21583.35862137389,24263,25065,0.9997527710247641,0.9997606796697379
gps_step_5s_max,ping_dos,0.5360951503483558,0.5360951503483558,0.9933605522912656,29194,25065,0.9997945205479452,0.9997606796697379
gps_step_5s_rms,gps_jamming,0.1650227778815803,0.8349772221184197,0.06627936943599774,1105,25065,0.9990958408679927,0.9997606796697379
gps_step_5s_rms,gps_spoofing,0.5549938588964328,0.5549938588964328,4536.879851050157,24263,25065,0.9997527710247641,0.9997606796697379
gps_step_5s_rms,ping_dos,0.5299137239409637,0.5299137239409637,0.9961535468800202,29194,25065,0.9997945205479452,0.9997606796697379
gps_speed_residual_cusum_pos,gps_jamming,0.5846668878107694,0.5846668878107694,0.09579719976729287,1106,25071,1.0,1.0
gps_speed_residual_cusum_pos,gps_spoofing,0.5232527006383169,0.5232527006383169,2723.5321663947,24269,25071,1.0,1.0
