split,seed,architecture,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_01,1,lstm,lstm_rankpct,threshold,advisory,393,106,0.2697201017811705,1427,33.828754295833335,42.183048997927855,5.536703971698113,61.07983399999999
split_01,1,lstm,lstm_rankpct,k_of_n,advisory,393,79,0.2010178117048346,817,33.828754295833335,24.15105187898182,8.849401531645567,63.105069
split_01,1,lstm,lstm_rankpct,cusum,advisory,393,87,0.22137404580152673,755,33.828754295833335,22.318291516072552,13.73335409195402,104.99305600000002
split_02,2,lstm,lstm_relerr,threshold,critical,393,1,0.002544529262086514,37,34.3213765025,1.0780453399736134,1.0200040000000001,1.0200040000000001
split_02,2,lstm,lstm_relerr,k_of_n,critical,393,0,0.0,15,34.3213765025,0.4370454080974108,,
split_02,2,lstm,lstm_relerr,cusum,critical,393,12,0.030534351145038167,469,34.3213765025,13.664953093179045,32.81284283333333,61.926535
split_02,2,lstm,lstm_relerr,threshold,advisory,393,4,0.010178117048346057,324,34.3213765025,9.440180814904075,4.267739750000011,15.034065999999996
split_02,2,lstm,lstm_relerr,k_of_n,advisory,393,5,0.01272264631043257,955,34.3213765025,27.825224315535156,10.42322840000001,27.02327699999998
split_02,2,lstm,lstm_relerr,cusum,advisory,393,46,0.11704834605597965,1133,34.3213765025,33.011496491624435,19.03274676086957,47.99486200000001
split_02,2,lstm,lstm_rankpct,threshold,critical,393,27,0.06870229007633588,251,34.3213765025,7.313226495496674,12.892704,49.970617000000004
split_02,2,lstm,lstm_rankpct,k_of_n,critical,393,21,0.05343511450381679,161,34.3213765025,4.69095404691221,14.91780676190476,44.090149
split_02,2,lstm,lstm_rankpct,cusum,critical,393,27,0.06870229007633588,90,34.3213765025,2.622272448584465,32.78388533333334,108.19766100000001
split_02,2,lstm,lstm_rankpct,threshold,advisory,393,81,0.20610687022900764,878,34.3213765025,25.581724553968446,8.325281283950618,63.05880100000002
split_02,2,lstm,lstm_rankpct,k_of_n,advisory,393,69,0.17557251908396945,590,34.3213765025,17.19045271849816,10.054804086956517,63.961658
split_02,2,lstm,lstm_rankpct,cusum,advisory,393,65,0.16539440203562342,373,34.3213765025,10.867862481355616,14.923851692307691,58.06687600000001
split_03,3,lstm,lstm_relerr,threshold,critical,393,37,0.09414758269720101,664,34.67820707944444,19.14747202699493,7.1545607837837775,42.999841
split_03,3,lstm,lstm_relerr,k_of_n,critical,393,16,0.04071246819338423,407,34.67820707944444,11.736477582811652,16.058925499999976,81.957719
split_03,3,lstm,lstm_relerr,cusum,critical,393,30,0.07633587786259542,167,34.67820707944444,4.815704561006255,17.92685643333332,80.944703
split_03,3,lstm,lstm_relerr,threshold,advisory,393,64,0.1628498727735369,1227,34.67820707944444,35.38245207398009,9.261765421875,147.94074299999988
split_03,3,lstm,lstm_relerr,k_of_n,advisory,393,48,0.12213740458015267,677,34.67820707944444,19.522347232342725,12.069948458333327,67.00508699999999
split_03,3,lstm,lstm_relerr,cusum,advisory,393,73,0.18575063613231552,471,34.67820707944444,13.582017055293091,19.240114753424656,96.04338699999994
split_03,3,lstm,lstm_rankpct,threshold,critical,393,89,0.22646310432569974,676,34.67820707944444,19.4935106780852,7.863750494382024,66.166902
split_03,3,lstm,lstm_rankpct,k_of_n,critical,393,72,0.183206106870229,368,34.67820707944444,10.611851966768274,10.116084236111114,45.101512
split_03,3,lstm,lstm_rankpct,cusum,critical,393,34,0.08651399491094147,100,34.67820707944444,2.8836554257522486,32.56482294117647,139.04157699999996
split_03,3,lstm,lstm_rankpct,threshold,advisory,393,130,0.33078880407124683,1345,34.67820707944444,38.785165476367744,5.983524246153847,41.060598
split_03,3,lstm,lstm_rankpct,k_of_n,advisory,393,91,0.23155216284987276,645,34.67820707944444,18.599577496102004,8.649126054945055,62.948477000000025
split_03,3,lstm,lstm_rankpct,cusum,advisory,393,86,0.21882951653944022,363,34.67820707944444,10.467669195480662,15.775294744186043,90.88075099999992
split_04,4,lstm,lstm_relerr,threshold,critical,393,4,0.010178117048346057,160,33.43955370305555,4.784752853486197,25.015773749999994,83.06932599999999
split_04,4,lstm,lstm_relerr,k_of_n,critical,393,7,0.017811704834605598,159,33.43955370305555,4.754848148151909,5.302537428571426,11.993453000000002
split_04,4,lstm,lstm_relerr,cusum,critical,393,3,0.007633587786259542,51,33.43955370305555,1.5251399720487255,45.69173166666666,77.04510399999998
split_04,4,lstm,lstm_relerr,threshold,advisory,393,16,0.04071246819338423,447,33.43955370305555,13.367403284427064,8.630469187499996,37.983131000000014
split_04,4,lstm,lstm_relerr,k_of_n,advisory,393,15,0.03816793893129771,310,33.43955370305555,9.270458653629507,9.401649800000001,40.011931000000004
split_04,4,lstm,lstm_relerr,cusum,advisory,393,10,0.02544529262086514,167,33.43955370305555,4.994085790826219,26.101795299999992,68.03013099999998
split_04,4,lstm,lstm_rankpct,threshold,critical,393,33,0.08396946564885496,516,33.43955370305555,15.430827952492988,7.194110242424246,37.02480300000002
split_04,4,lstm,lstm_rankpct,k_of_n,critical,393,32,0.08142493638676845,445,33.43955370305555,13.307593873758487,10.313595499999998,67.03474600000001
split_04,4,lstm,lstm_rankpct,cusum,critical,393,18,0.04580152671755725,186,33.43955370305555,5.5622751921777045,22.44674727777778,113.10386399999999
split_04,4,lstm,lstm_rankpct,threshold,advisory,393,59,0.15012722646310434,1279,33.43955370305555,38.24811812255529,6.610332135593219,31.028773
split_04,4,lstm,lstm_rankpct,k_of_n,advisory,393,44,0.11195928753180662,903,33.43955370305555,27.00394891686273,7.600378999999995,31.037959999999998
split_04,4,lstm,lstm_rankpct,cusum,advisory,393,67,0.17048346055979643,667,33.43955370305555,19.946438457970586,14.619890716417903,62.93825100000002
